sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東,屏東縣,56,細懸浮微粒,普通,1.4,0.34,46.7,47.2,42,18,12.9,13.7,0.7,2,333,"2024/01/09 18:00:00",0.3,17.5,38,1,120.488033,22.673081,59
小港,高雄市,70,細懸浮微粒,普通,1.3,0.43,45.4,43.9,64,22,24.4,25.6,1.2,2.8,304,"2024/01/09 18:00:00",0.3,23.3,54,1,120.337736,22.565833,58
前鎮,高雄市,77,細懸浮微粒,普通,2,0.57,39.9,43.5,68,24,24.4,27.5,3.1,1.8,25,"2024/01/09 18:00:00",0.4,26,59,1,120.30833356,22.6044507,57
前金,高雄市,64,細懸浮微粒,普通,0.8,0.31,47.7,46.9,61,16,14.4,15.1,0.6,3,306,"2024/01/09 18:00:00",0.3,20.8,61,1,120.28676111,22.63390278,56
左營,高雄市,68,細懸浮微粒,普通,2,0.3,42.3,45,55,21,19.7,20.3,0.5,2.4,312,"2024/01/09 18:00:00",0.3,22.5,54,1,120.292917,22.674861,54
楠梓,高雄市,57,細懸浮微粒,普通,1.8,0.33,38.5,43.3,52,17,18.4,19.3,0.9,1.6,356,"2024/01/09 18:00:00",0.2,18,48,1,120.328289,22.733667,53
林園,高雄市,72,細懸浮微粒,普通,3,0.46,37.9,44.5,74,22,30.8,31.4,0.5,3,341,"2024/01/09 18:00:00",0.4,23.9,60,,120.41175,22.4795,52
大寮,高雄市,67,細懸浮微粒,普通,1.6,0.41,38.5,42.4,63,22,25.1,26.7,1.5,2.3,338,"2024/01/09 18:00:00",0.3,21.8,48,1,120.425311,22.56413611,51
鳳山,高雄市,63,細懸浮微粒,普通,1.9,1,28.2,33.9,65,19,38.8,44.8,6,1.1,286,"2024/01/09 18:00:00",0.7,20.5,54,2,120.357422,22.628126,50
仁武,高雄市,72,細懸浮微粒,普通,1.5,0.43,30.7,38.8,44,19,29.5,31.7,2.2,3.4,347,"2024/01/09 18:00:00",0.3,24.2,44,1,120.332631,22.689056,49
